date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,HPG_close,HPG_volume
2023-12-06,1126.43,738707669.0,1109.27,157327615.0,233.63,101785936.0,86.31,33861369.0,20.91,18657441.0
2023-12-07,1121.49,1221764657.0,1111.35,299792750.0,231.84,185717146.0,85.71,52979139.0,20.91,49444696.0
2023-12-08,1124.44,689966264.0,1114.89,210047135.0,231.2,90568306.0,85.71,52026068.0,20.98,52799031.0
2023-12-11,1125.5,570094573.0,1117.34,149574408.0,231.37,76707019.0,85.48,26650479.0,20.83,17852876.0
2023-12-12,1127.63,498413736.0,1121.21,141934304.0,231.71,74617195.0,85.35,24384242.0,21.17,31693150.0
2023-12-13,1114.2,714276741.0,1106.83,190724747.0,228.42,97576160.0,85.09,43426634.0,20.72,33356819.0
2023-12-14,1110.13,559832758.0,1104.49,155447261.0,227.23,81366002.0,85.22,28522003.0,20.49,31784558.0
2023-12-15,1102.3,641927289.0,1097.4,180912226.0,227.02,76846653.0,85.05,36051232.0,20.3,34693422.0
2023-12-18,1091.88,485967620.0,1084.67,150883863.0,225.73,62543732.0,84.88,24034815.0,20.15,14883440.0
2023-12-19,1096.3,513256942.0,1091.87,147506433.0,227.27,78808318.0,85.1,23585183.0,20.6,20502049.0
2023-12-20,1100.76,433798180.0,1097.01,117102622.0,228.16,46044889.0,85.48,19358589.0,20.6,17666787.0
2023-12-21,1102.43,411137272.0,1097.43,107806129.0,228.48,46252691.0,86.16,17455017.0,20.6,14312119.0
2023-12-22,1103.06,457342945.0,1097.45,138311948.0,228.27,80365699.0,86.14,28578091.0,20.49,17434981.0
2023-12-25,1117.66,513367086.0,1111.86,136663783.0,229.45,54278851.0,86.21,22367677.0,20.8,20414974.0
2023-12-26,1122.25,526323287.0,1115.52,151865279.0,231.26,54874010.0,86.24,20671335.0,21.06,33753533.0
2023-12-27,1121.99,526146731.0,1115.94,128757872.0,230.6,62930971.0,86.46,26079167.0,21.02,19860170.0
2023-12-28,1128.93,558386951.0,1128.51,167306701.0,231.35,56216257.0,86.97,23576925.0,21.17,31321948.0
2023-12-29,1129.93,569745860.0,1131.46,179366501.0,231.04,69089845.0,87.04,42705158.0,21.17,20475453.0
2024-01-01,1129.93,569745860.0,1131.46,179366501.0,231.04,69089845.0,87.04,42705158.0,21.17,20475453.0
2024-01-02,1131.72,723494585.0,1131.64,184210752.0,229.99,59650589.0,87.58,35359617.0,20.8,22196509.0
2024-01-03,1144.17,614573860.0,1144.85,179565525.0,231.64,58217233.0,87.8,33936498.0,21.06,18581664.0
2024-01-04,1150.72,1071028753.0,1156.37,422364989.0,232.56,112056059.0,87.73,44644733.0,21.02,38548706.0
2024-01-05,1154.68,699280159.0,1161.14,229464256.0,232.76,59819200.0,87.93,40266722.0,21.06,17340693.0
2024-01-08,1160.19,753445865.0,1163.52,234279491.0,233.33,83126965.0,87.79,32796845.0,21.1,31258576.0
2024-01-09,1158.59,740754627.0,1160.21,221068483.0,232.5,78725769.0,87.72,40606749.0,20.98,28631164.0
2024-01-10,1161.54,865218394.0,1162.68,349931600.0,231.41,89271360.0,87.15,35159432.0,20.72,32654545.0
2024-01-11,1162.22,721808488.0,1163.56,258196468.0,232.71,82790600.0,87.56,35687653.0,20.83,15271976.0
2024-01-12,1154.7,971060449.0,1163.66,376092368.0,230.31,98715754.0,86.9,49237434.0,20.57,28640291.0
2024-01-15,1154.12,513403043.0,1161.3,197943680.0,227.55,62984052.0,86.61,24820447.0,20.53,12506342.0
2024-01-16,1163.12,520993518.0,1170.19,198550383.0,229.5,53087412.0,87.02,22249086.0,21.06,19773999.0
2024-01-17,1162.53,637645718.0,1166.61,220143658.0,229.5,75660609.0,86.96,25036361.0,20.95,23419285.0
2024-01-18,1169.06,523948655.0,1173.91,180032119.0,229.93,48098247.0,87.16,27887820.0,20.95,12645044.0
2024-01-19,1181.5,578206561.0,1185.23,220716840.0,229.48,60727393.0,87.46,38546579.0,21.06,14866159.0
2024-01-22,1182.86,695005662.0,1189.56,257372555.0,229.77,64151245.0,87.72,32103357.0,21.44,66094584.0
2024-01-23,1177.5,546232894.0,1183.85,200035084.0,229.26,62257738.0,87.45,27276855.0,21.48,21686564.0
2024-01-24,1172.97,585110178.0,1179.45,216756637.0,228.53,56498013.0,87.64,35434627.0,21.4,16144379.0
2024-01-25,1170.37,432026831.0,1177.52,148364955.0,228.52,42978712.0,87.68,25696990.0,21.4,15234746.0
2024-01-26,1175.67,450059721.0,1182.82,141315892.0,229.43,60106994.0,87.7,39933502.0,21.48,14380956.0
2024-01-29,1175.69,499332696.0,1179.17,150598662.0,229.05,52896337.0,87.6,26037226.0,21.21,21583456.0
2024-01-30,1179.65,522946236.0,1181.71,153300171.0,230.66,58736414.0,87.85,30324244.0,21.21,17536929.0
2024-01-31,1164.31,955418532.0,1166.33,389553400.0,229.18,96421143.0,87.69,36158255.0,21.02,24464533.0
2024-02-01,1173.02,531547216.0,1173.35,158584555.0,230.57,53485253.0,88.02,28402228.0,21.1,10642909.0
2024-02-02,1172.55,734972309.0,1174.76,220054030.0,230.56,76632575.0,88.37,36769896.0,21.14,14168885.0
2024-02-05,1186.06,722125440.0,1197.36,293815324.0,230.28,70225268.0,88.53,29255180.0,21.21,16238284.0
2024-02-06,1188.48,526235527.0,1199.17,157940883.0,230.63,85528318.0,88.86,22845489.0,21.25,14667973.0
2024-02-07,1198.53,614452225.0,1212.7,201440282.0,231.04,62164417.0,89.33,21492727.0,21.32,13815720.0
2024-02-08,1198.53,614452225.0,1212.7,201440282.0,231.04,62164417.0,89.33,21492727.0,21.32,13815720.0
2024-02-09,1198.53,614452225.0,1212.7,201440282.0,231.04,62164417.0,89.33,21492727.0,21.32,13815720.0
2024-02-12,1198.53,614452225.0,1212.7,201440282.0,231.04,62164417.0,89.33,21492727.0,21.32,13815720.0
2024-02-13,1198.53,614452225.0,1212.7,201440282.0,231.04,62164417.0,89.33,21492727.0,21.32,13815720.0
2024-02-14,1198.53,614452225.0,1212.7,201440282.0,231.04,62164417.0,89.33,21492727.0,21.32,13815720.0
2024-02-15,1202.5,784034166.0,1217.12,288228335.0,232.75,59957492.0,90.06,28453051.0,21.74,37002180.0
2024-02-16,1209.7,732603874.0,1224.54,209278015.0,233.04,67083187.0,90.06,40254130.0,21.67,16729914.0
2024-02-19,1224.97,898027299.0,1240.2,328636110.0,233.37,83700830.0,90.45,54420067.0,22.12,42298335.0
2024-02-20,1230.06,772746057.0,1241.65,245380129.0,233.5,96692642.0,90.53,37393119.0,22.12,21405084.0
2024-02-21,1230.04,808511856.0,1242.08,305636794.0,233.84,64072319.0,90.61,35042539.0,21.82,31597047.0
